"Dist Name","rice_corr","wheat_corr","maize_corr"
"Barmer",NULL,"0.42214871845704605","0.9669368574342802"
"Kutch",NULL,"0.9489203315127233","0.9627248354803202"
"Nagaur",NULL,"0.8291913647932885","0.7708129057113505"
"Churu","1","0.9670727905109645",NULL
"Sikar","1","0.9558535174397805","0.6445332940736869"
"Jodhpur","1","0.8694584294145679","0.7309400928725722"
"Jaisalmer","1","0.8590361234465335","0.9895497419803045"
"Lahul & Spiti","1","0.8774246075648922","0.9961496548716753"
"Jhunjhunu","0.9999999999999997","0.9674131597473038",NULL
"Kinnaur","0.9996923602795112","0.9300526050584752","0.949141443365755"
"Gurgaon","0.9928874616331991","0.9185153197090116","0.7843234242770752"
"Buland Shahar","0.9922873596246675","0.562432969441784","0.6929149733556961"
"Hissar","0.991555921199238","0.988176057027284","0.9438196804169453"
"Jalore","0.9910986625140099","0.47641815620101297","0.7449189867348582"
"Bhatinda","0.9900495560808962","0.9634545270110957","0.9739948337690282"
"Ferozpur","0.9895299557961931","0.9577205085904169","0.9670506916772282"
"Chitradurga","0.9893313742502833","0.745410002316955","0.9515357027664795"
"Kozhikode","0.9890341876933407",NULL,NULL
"Hoshiarpur","0.9888892174938161","0.8410961772135316","-0.36698329456743156"
"Mahendragarh / Narnaul","0.9887811255507192","0.9548404809771747","0.9959609775990906"
"Bellary","0.9886683804491632","0.9129939080485272","0.969031255192847"
"Jalandhar","0.9886565566999934","0.683472335898973","0.8568815901364483"
"Chamoli","0.9882531281304283","0.9549562891989525","0.9557913707337424"
"Aligarh","0.9881876175658518","0.9274982071683755","0.416776100253961"
"Mathura","0.9876117788894373","0.8292902036977109","0.8609968015719452"
"Hoshangabad","0.9867561766012245","0.9565250680916279","0.9783779511008952"
"Thiruvananthapuram","0.9863807014366464",NULL,NULL
"Kannur","0.985386758428541",NULL,NULL
"Roopnagar / Ropar","0.9850780817208411","0.950246217710238","-0.47160283107867246"
"Raichur","0.9847236493510694","0.8237251204251398","0.9326634463330831"
"Ambala","0.9837383087742525","0.8299039328775705","0.9504999843540396"
"Pithorgarh","0.9819782022580177","0.9688593618253061","0.9613055010029756"
"Raisen","0.9814256502760518","0.915406369414151","0.9604161108370877"
"Ludhiana","0.9799270492343","0.7617160280370386","0.9915985322880642"
"Sangrur","0.979523118819741","0.9473378706563111","0.9814233382871466"
"Bombay","0.9789265313749701",NULL,"1"
"Amritsar","0.9781706162600231","0.9439537522084326","0.8933977283583026"
